,PID,isMemberOfCollection,isPageOf,cmodel,datastream,OBJ_Exists,obj_checksum,Premis_Check,Last_Modified_By,obj_format,title,fgs_lastModifiedDate_dt,namespace,checksum,mimetype,size
0,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image,AUDIT,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora,not_set,text/xml,not_set
1,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, RELS-EXT,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora, 94e8f30a05c70096e53be5b1dcb6066769dbb6fd, application/rdf+xml, 718
2,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, MODS,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora, bafe21cbde340c0764c8313038623d10290386c6, application/xml, 1260
3,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, DC,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora, 4ca48ca4c7ca3d9964b33485baa1e9c5510e31cf, text/xml, 454
4,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, OBJ,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora, 22ace46f16f064d6c24fe8027030907165ee9eca, image/jpeg, 1878576
5,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, TECHMD,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora, 11d5dce7535e39645062f7f90344e46375406deb, application/xml, 3439
6,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, TN,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora, b595f3883e67a44971b6408f560d245e4d365c22, image/jpeg, 29414
7,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, MEDIUM_SIZE,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",second page,"Tuesday, March 26, 2019 - 01:05",islandora, ff33520ee0f17d2ef3f48fef72abb6472c048ccf, image/jpeg, 59800
8,islandora:10,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image,AUDIT,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",back page,"Tuesday, March 26, 2019 - 01:05",islandora,not_set,text/xml,not_set
9,islandora:10,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image, RELS-EXT,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,Validated,admin,"JPEG File Interchange Format, JPEG EXIF",back page,"Tuesday, March 26, 2019 - 01:05",islandora, d1c419dba0ca9e133dcdd478ad654b728e1f76c5, application/rdf+xml, 718
