,PID,isMemberOfCollection,isPageOf,cmodel,datastream_list,datastreams_count,OBJ_Exists,obj_checksum,checksum_list,Premis_Check,Last_Modified_By,obj_format,mimetypes_list,title,size_list,fgs_lastModifiedDate_dt,checksum_count,namespace
0,example:3,,info:fedora/example:1,info:fedora/islandora:pageCModel,"AUDIT, RELS-EXT, PDF, OBJ, DC, TN, JP2, TECHMD, JPG, RELS-INT",10,OBJ,2aff5cfebf859d7933ee76bba594b1ede8e30f9e,"not_set, 3092d6667f455f236e48a737b1cbd12cbe17a675, 1b1d13ad38eb128e1e83fb22dd00f87d977665b5, 2aff5cfebf859d7933ee76bba594b1ede8e30f9e, not_set, 4dc07e63bfa2c3391759f117788cd3026911dcc1, 79a1d450bef92073283ad3505781ac2fd6d75250, bfca439bbeed45f7107a8095bbd8b41ac9b567e3, 202deb5896e35a79cde0d6bc8e096e13cd08d9c4, d9ce3442823d090008f604e71a64f8c0cb8a8751",Validated,admin,TIFF EXIF,"text/xml, application/rdf+xml, application/pdf, image/tiff, text/xml, image/jpeg, image/jp2, application/xml, image/jpeg, application/rdf+xml",sample.pdf-2,"not_set, 822, 6636, 280983, 374, 188825, 138130, 6478, 237440, 355","Tuesday, March 26, 2019 - 01:05",10,example
1,example:2,,info:fedora/example:1,info:fedora/islandora:pageCModel,"AUDIT, RELS-EXT, PDF, OBJ, DC, TN, JP2, TECHMD, JPG, RELS-INT",10,OBJ,cd3b241ed4869776bb90387b51766e04b7a62151,"not_set, 0b34e4584546dc42ef0f0209ca1105ce87cc7af0, e066feea58b0227c24509c192dbbc4be66f49657, cd3b241ed4869776bb90387b51766e04b7a62151, not_set, 2dc2309fd4e474cd2d5a3ff469c1663c5bdddbdf, 3b549dbcea1894f7638bfe110b42b2ce0fdbe0e3, 620e7d4143909d02d8d6c3ccfaa5f262498f9eed, d5afab9cd204832365a360cd941d50a098e0fd65, fe00c11a91097b6fcd4bbbaf1c56040eb7cf4dc4",Validated,admin,TIFF EXIF,"text/xml, application/rdf+xml, application/pdf, image/tiff, text/xml, image/jpeg, image/jp2, application/xml, image/jpeg, application/rdf+xml",sample.pdf-1,"not_set, 822, 6185, 298854, 374, 189257, 149299, 6478, 257796, 355","Tuesday, March 26, 2019 - 01:05",10,example
2,islandora:8,info:fedora/utsc:collection2,,info:fedora/islandora:sp_basic_image,"AUDIT, RELS-EXT, MODS, DC, OBJ, TECHMD, TN, MEDIUM_SIZE",8,OBJ,f4e806111bdb1c39c1e281e342afd59fed40d198,"not_set, 8a77ac9ee1a9edca8183cd33525a5759bc2ff964, 4f5e56b5943a02b586d09963697d355150e7da3b, 72ce00fd71daab608d2e4702ca910404ee0841da, f4e806111bdb1c39c1e281e342afd59fed40d198, 5d3ed4be9566cfe04ae735ff43fc45ef26c36279, a2676e83bbec8aedc9344da6280150a0078be33b, 6d62bd309a92e7f05e0f4f2a1930e82e2a020dfc",Validated,admin,JPEG EXIF,"text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg, application/xml, image/jpeg, image/jpeg",aaaa,"not_set, 546, 1253, 446, 3773963, 11028, 29019, 41776","Tuesday, March 26, 2019 - 01:05",8,islandora
3,islandora:11,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image,"AUDIT, RELS-EXT, MODS, DC, OBJ, TECHMD, TN, MEDIUM_SIZE",8,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,"not_set, 94e8f30a05c70096e53be5b1dcb6066769dbb6fd, bafe21cbde340c0764c8313038623d10290386c6, 4ca48ca4c7ca3d9964b33485baa1e9c5510e31cf, 22ace46f16f064d6c24fe8027030907165ee9eca, 11d5dce7535e39645062f7f90344e46375406deb, b595f3883e67a44971b6408f560d245e4d365c22, ff33520ee0f17d2ef3f48fef72abb6472c048ccf",Validated,admin,"JPEG File Interchange Format, JPEG EXIF","text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg, application/xml, image/jpeg, image/jpeg",second page,"not_set, 718, 1260, 454, 1878576, 3439, 29414, 59800","Tuesday, March 26, 2019 - 01:05",8,islandora
4,islandora:10,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image,"AUDIT, RELS-EXT, MODS, DC, OBJ, TECHMD, TN, MEDIUM_SIZE",8,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,"not_set, d1c419dba0ca9e133dcdd478ad654b728e1f76c5, 77a56f5e37d770ad1c00da0530c8114c6367721d, 419f2767e466c2333f4cf841826f71c7460e66b0, 22ace46f16f064d6c24fe8027030907165ee9eca, 7b4df65213ff1a5b66ac85475c5a919b0cdd0534, b595f3883e67a44971b6408f560d245e4d365c22, ff33520ee0f17d2ef3f48fef72abb6472c048ccf",Validated,admin,"JPEG File Interchange Format, JPEG EXIF","text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg, application/xml, image/jpeg, image/jpeg",back page,"not_set, 718, 1258, 452, 1878576, 3439, 29414, 59800","Tuesday, March 26, 2019 - 01:05",8,islandora
5,islandora:6,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image,"AUDIT, RELS-EXT, MODS, DC, OBJ, TECHMD, TN, MEDIUM_SIZE",8,OBJ,4784c50df21ca2fa8f2a3219adcaf9dbbffe7ae8,"not_set, a4eeb4470e100b73ee58662ba364fac89e9bbc80, 45154e0fdba6e57d5d9da9a2f073d78302564cdc, 9747a054848b18124e0cb596d9e5a3a8523d8e5b, 4784c50df21ca2fa8f2a3219adcaf9dbbffe7ae8, fb4f82ae7ead29df743c68ab7645ba2f13e82e16, cc5126483bb1982b71320e0cd4f7dd9675fc9cd3, e5386428ab387be898c4d0002f859078bc6daf64",Validated,admin,JPEG EXIF,"text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg, application/xml, image/jpeg, image/jpeg",inside object 2,"not_set, 541, 1264, 457, 9041285, 10422, 70911, 82600","Tuesday, March 26, 2019 - 01:05",8,islandora
6,islandora:5,info:fedora/example:nat,,info:fedora/islandora:sp_basic_image,"AUDIT, RELS-EXT, MODS, DC, OBJ, TECHMD, TN, MEDIUM_SIZE",8,OBJ,4e424da322f285aa179caec35397d161ab76c075,"not_set, 6c11a823b8451a7f9b1ffc417d981ea2a2f0dd53, e80523108669617248bd4631acbd43a991799b89, 06aab5411365dff5ee1444d922f20ffaaca2080c, 4e424da322f285aa179caec35397d161ab76c075, e0211f66aaaf1276f7f0509ab6a6c48c84f51e01, 7baec24d2f078f05b60c3ba74a7e9b99c07ff8e3, c03363a3411abafb2b2941b57cb8a2abd6c8b96a",Validated,admin,JPEG EXIF,"text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg, application/xml, image/jpeg, image/jpeg",inside object 1,"not_set, 541, 1264, 457, 9240579, 10422, 71002, 83030","Tuesday, March 26, 2019 - 01:05",8,islandora
7,example:4,info:fedora/example:nat,,info:fedora/islandora:compoundCModel,"AUDIT, RELS-EXT, MODS, DC, TN",5,NO,not_set,"not_set, 3395fd1108c111ef44d32e22fdf408c0d52b393d, e40c2bdc7c1811734a835a85aeba2ef8207f85ca, abee616d341b478437d41c6663aeef81d38ce768, b595f3883e67a44971b6408f560d245e4d365c22",Not Validated,admin,,"text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg",front,"not_set, 539, 856, 425, 29414","Monday, March 25, 2019 - 19:58",5,example
8,example:1,info:fedora/example:nat,,info:fedora/islandora:bookCModel,"AUDIT, RELS-EXT, MODS, DC, PDF, TN",6,NO,not_set,"not_set, c065002845edb766ef0ed320af6edb8a84767583, 175b1d0ab04ee23cf408ce1005c062661cb6010b, 37964ff9eabf914397773eb668b23cee72ea58b1, bfd009f500c057195ffde66fae64f92fa5f59b72, 2dc2309fd4e474cd2d5a3ff469c1663c5bdddbdf",Not Validated,admin,,"text/xml, application/rdf+xml, application/xml, text/xml, application/pdf, image/jpeg",sample book,"not_set, 535, 1439, 399, 3028, 189257","Monday, March 25, 2019 - 19:43",6,example
9,utsc:collection2,info:fedora/example:nat,,info:fedora/islandora:collectionCModel,"AUDIT, RELS-EXT, COLLECTION_POLICY, MODS, DC, TN",6,NO,not_set,"not_set, 94e0e6bc570b041b741db5e466da7ebac42e822c, 103c69b3e5d65abb6908699bb9f385bb0a203f98, 71f7d6ee473806df6e284f2cb7ffb0b6089a4db1, ef49a6967ef692d62e5ecfc7fa66daf51616f194, aa13cc259a5ab9a48a9554a70bca20810e6967ef",Not Validated,admin,,"text/xml, application/rdf+xml, text/xml, application/xml, text/xml, image/png",utsc colleciton,"not_set, 548, 641, 410, 444, 5137","Monday, March 25, 2019 - 19:31",6,utsc
10,islandora:2,info:fedora/islandora:sp_basic_image_collection,,info:fedora/islandora:sp_basic_image,"AUDIT, RELS-EXT, MODS, DC, OBJ, TECHMD, TN, MEDIUM_SIZE",8,OBJ,22ace46f16f064d6c24fe8027030907165ee9eca,"not_set, ea79b5308c79d6029df65087a17f74143563619a, 46007471fa1294e38ae3aa9a2489bd6a9ca2bb65, 22166bf2aae2ea48fb3e92d53fd5e397d37bc34a, 22ace46f16f064d6c24fe8027030907165ee9eca, a80dc61fc9ac41c5c327fc4dbab40b3e9dbdc854, b595f3883e67a44971b6408f560d245e4d365c22, ff33520ee0f17d2ef3f48fef72abb6472c048ccf",Validated,admin,"JPEG File Interchange Format, JPEG EXIF","text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg, application/xml, image/jpeg, image/jpeg",22222,"not_set, 565, 1254, 447, 1878576, 3440, 29414, 59800","Tuesday, March 26, 2019 - 01:05",8,islandora
11,islandora:1,info:fedora/islandora:sp_basic_image_collection,,info:fedora/islandora:sp_basic_image,"AUDIT, RELS-EXT, MODS, DC, OBJ, TECHMD, TN, MEDIUM_SIZE",8,OBJ,f4e806111bdb1c39c1e281e342afd59fed40d198,"not_set, 0f26c9457abf726f8be9d82ff26c19ccb27a9b6b, db80a85156a89571b78207f84b35684800fedf53, 6f2574572d220f22ed326da7c64b2dfef48610ad, f4e806111bdb1c39c1e281e342afd59fed40d198, 8fa9de00bc2400d86e0c91d16efa57cc7d431c4d, a2676e83bbec8aedc9344da6280150a0078be33b, 6d62bd309a92e7f05e0f4f2a1930e82e2a020dfc",Validated,admin,JPEG EXIF,"text/xml, application/rdf+xml, application/xml, text/xml, image/jpeg, application/xml, image/jpeg, image/jpeg",88888888888,"not_set, 565, 1505, 495, 3773963, 11029, 29019, 41776","Tuesday, March 26, 2019 - 01:05",8,islandora
12,example:nat,info:fedora/islandora:sp_basic_image_collection,,info:fedora/islandora:collectionCModel,"AUDIT, RELS-EXT, COLLECTION_POLICY, MODS, DC, TN",6,NO,not_set,"not_set, 4ce44ed90a367badf13625d5a7cdae8d40d8d9fb, 936b5a6d0821efa8a4082d585164c670efe76931, 7549eb0d79645b099193abc475377fa8b953ecca, 2fa6e46759ab5d34dcd2dbf6a9b7ae19bca93315, aa13cc259a5ab9a48a9554a70bca20810e6967ef",Not Validated,admin,,"text/xml, application/rdf+xml, text/xml, application/xml, text/xml, image/png",example:nat,"not_set, 567, 927, 406, 435, 5137","Monday, March 25, 2019 - 19:55",6,example
